track,eval,model,lift_at_10,precision_at_10,pr_auc,roc_auc,brier,n,base_rate
primary,single_split_test,persistence,1.5,0.1216216216216216,0.1155835890572777,0.5451470588235294,0.096330925466239,740,0.081081081081081
primary,single_split_test,single,2.1666666666666665,0.1756756756756756,0.1405634981083344,0.6366789215686275,0.2318919879366929,740,0.081081081081081
primary,single_split_test,logistic,2.0,0.1621621621621621,0.1712679824703356,0.7362745098039215,0.1974574423113372,740,0.081081081081081
primary,single_split_test,lgbm,2.5,0.2027027027027027,0.1864687027241804,0.7488848039215686,0.1278489761350931,740,0.081081081081081
primary,single_split_test,lgbm_calibrated,2.5,0.2027027027027027,0.1859081180942889,0.7488725490196079,0.0750188986734135,740,0.081081081081081
primary,walkforward_macro_avg_folds,persistence,1.687566483383477,0.1567870391399803,0.14928671860684456,0.5450868785033484,0.10202358206663122,2063,0.09250237266426779
primary,walkforward_macro_avg_folds,single,2.4029370266625167,0.2249917985212103,0.19715809220331604,0.6565035631465329,0.2278154076352413,2063,0.09250237266426779
primary,walkforward_macro_avg_folds,logistic,2.472472248158523,0.23519317636964698,0.22503548326090916,0.711642963624429,0.21932561268216447,2063,0.09250237266426779
primary,walkforward_macro_avg_folds,lgbm,2.4560473078120135,0.22458593046828343,0.18272293553491728,0.7086153719167,0.14109999474281498,2063,0.09250237266426779
primary,walkforward_pooled_oos_rank,persistence,1.7302648299700096,0.16019417475728157,0.1407774433838275,0.5451165145209649,,2063,0.09258361609306835
primary,walkforward_pooled_oos_rank,single,2.4643165760178927,0.22815533980582525,0.1872344336147508,0.6621260683760684,,2063,0.09258361609306835
primary,walkforward_pooled_oos_rank,logistic,2.516748843592741,0.23300970873786409,0.2118563228859197,0.7177976909652303,,2063,0.09258361609306835
primary,walkforward_pooled_oos_rank,lgbm,2.4118843084430437,0.22330097087378642,0.1767241927080214,0.7110476238421264,,2063,0.09258361609306835
primary,walkforward_pooled_oos_raw,persistence,1.6778325623951607,0.1553398058252427,0.14500139189091282,0.5458045263346311,0.10208647530096819,2063,0.09258361609306835
primary,walkforward_pooled_oos_raw,single,2.56918111116759,0.23786407766990292,0.192367996020872,0.6640432720275653,0.22788823775329664,2063,0.09258361609306835
primary,walkforward_pooled_oos_raw,logistic,2.4643165760178927,0.22815533980582525,0.2205597483939982,0.7199987694097641,0.2195925969564412,2063,0.09258361609306835
primary,walkforward_pooled_oos_raw,lgbm,2.1497229705687997,0.19902912621359223,0.1751330564659848,0.7031774399248221,0.14054532352006135,2063,0.09258361609306835
extended,single_split_test,persistence,1.1767927927927928,0.104,0.1010418672524486,0.508017624611511,0.1013975080919596,1256,0.0883757961783439
extended,single_split_test,single,1.6294054054054057,0.144,0.1374445975489185,0.5669027105708329,0.2382339350861813,1256,0.0883757961783439
extended,single_split_test,logistic,2.2630630630630635,0.2,0.1720293541946769,0.7030252960383965,0.1918352287690679,1256,0.0883757961783439
extended,single_split_test,lgbm,2.0820180180180183,0.184,0.1684262854304687,0.6882882882882883,0.1895415986511064,1256,0.0883757961783439
extended,single_split_test,lgbm_calibrated,2.0820180180180183,0.184,0.1684262854304687,0.6882882882882883,0.0804241047769986,1256,0.0883757961783439
extended,walkforward_macro_avg_folds,persistence,1.5916592159742784,0.16090145645285833,0.1438985809167341,0.5486816539766443,0.10475055623837935,3510,0.09793207841919314
extended,walkforward_macro_avg_folds,single,1.9725049186934172,0.20014207737572223,0.1702886259704297,0.6161510565581804,0.2343412906527924,3510,0.09793207841919314
extended,walkforward_macro_avg_folds,logistic,2.3003904664205357,0.22842080038341725,0.19772586520512717,0.6978252949747734,0.2037137706171027,3510,0.09793207841919314
extended,walkforward_macro_avg_folds,lgbm,1.993280353848544,0.20128061346752935,0.18238565103918347,0.6942038020907763,0.15704649201001356,3510,0.09793207841919314
extended,walkforward_pooled_oos_rank,persistence,1.627906976744186,0.15954415954415954,0.13644962900527596,0.5501425942793342,,3510,0.098005698005698
extended,walkforward_pooled_oos_rank,single,2.0348837209302326,0.19943019943019943,0.16341633658089458,0.6218868905081608,,3510,0.098005698005698
extended,walkforward_pooled_oos_rank,logistic,2.3255813953488373,0.22792022792022792,0.1927547309840479,0.7019972380966373,,3510,0.098005698005698
extended,walkforward_pooled_oos_rank,lgbm,2.0930232558139537,0.20512820512820512,0.17858925485848426,0.6991329569995152,,3510,0.098005698005698
extended,walkforward_pooled_oos_raw,persistence,1.7151162790697676,0.16809116809116809,0.14120875659816623,0.5507334469435425,0.10483379340220138,3510,0.098005698005698
extended,walkforward_pooled_oos_raw,single,1.9767441860465116,0.19373219373219372,0.1689288065764023,0.6231021096240579,0.23435815061288376,3510,0.098005698005698
extended,walkforward_pooled_oos_raw,logistic,2.4418604651162794,0.23931623931623933,0.20355217377262935,0.702772187045498,0.2040339878574118,3510,0.098005698005698
extended,walkforward_pooled_oos_raw,lgbm,1.482558139534884,0.1452991452991453,0.13139060912316558,0.6015885535265687,0.15708687970842283,3510,0.098005698005698
